fid,lichen_species,lichen_notes,quadrat_id,obs_id,conf_level,l_frequency,morphotypes,rainforest_indicators_morphotypes,rainforest_indicators_rainforest_indicator
52,lecanora_chlarotera_s._lat.,,LAE1_TS_QW,LAE1_TS_QW_L_20260713_141813558,high_conf,2,crustose_chlorolichen,crustose_chlorolichen,0
53,pyrenula_macrospora,,LAE1_TS_QN,LAE1_TS_QN_L_20260713_141813569,high_conf,5,crustose_chlorolichen,crustose_chlorolichen,1
54,thelotrema_lepadinum,,LAE1_TS_QN,LAE1_TS_QN_L_20260713_141813573,high_conf,4,crustose_chlorolichen,crustose_chlorolichen,1
55,lecanora_chlarotera_s._lat.,,LAE1_TS_QN,LAE1_TS_QN_L_20260713_141813589,high_conf,4,crustose_chlorolichen,crustose_chlorolichen,0
56,lecanora_chlarotera_s._lat.,,LAE1_TE_QN,LAE1_TE_QN_L_20260713_141813598,high_conf,5,crustose_chlorolichen,crustose_chlorolichen,0
57,thelotrema_lepadinum,,LAE1_TE_QN,LAE1_TE_QN_L_20260713_141813606,high_conf,4,crustose_chlorolichen,crustose_chlorolichen,1
58,pyrenula_macrospora,,LAE1_TE_QN,LAE1_TE_QN_L_20260713_141813613,high_conf,3,crustose_chlorolichen,crustose_chlorolichen,1
59,lecanora_chlarotera_s._lat.,,LAE1_TE_QE,LAE1_TE_QE_L_20260713_141813623,high_conf,5,crustose_chlorolichen,crustose_chlorolichen,0
60,pyrenula_macrospora,,LAE1_TE_QE,LAE1_TE_QE_L_20260713_141813637,high_conf,5,crustose_chlorolichen,crustose_chlorolichen,1
61,pyrenula_macrospora,,LAE1_TE_QS,LAE1_TE_QS_L_20260713_141813643,high_conf,3,crustose_chlorolichen,crustose_chlorolichen,1
62,lecanora_chlarotera_s._lat.,,LAE1_TE_QS,LAE1_TE_QS_L_20260713_141813654,high_conf,5,crustose_chlorolichen,crustose_chlorolichen,0
63,lecanora_chlarotera_s._lat.,,LAE1_TE_QW,LAE1_TE_QW_L_20260713_141813668,high_conf,5,crustose_chlorolichen,crustose_chlorolichen,0
64,thelotrema_lepadinum,,LAE1_TE_QW,LAE1_TE_QW_L_20260713_141813673,high_conf,2,crustose_chlorolichen,crustose_chlorolichen,1
65,hypotrachyna_sinuosa,,LAE1_TN_QS,LAE1_TN_QS_L_20260713_141813685,high_conf,5,foliose_chlorolichen,foliose_chlorolichen,1
66,lecanora_chlarotera_s._lat.,,LAE1_TN_QS,LAE1_TN_QS_L_20260713_141813693,high_conf,3,crustose_chlorolichen,crustose_chlorolichen,0
67,melanelixia_glabratula,,LAE1_TN_QS,LAE1_TN_QS_L_20260713_141813706,high_conf,3,foliose_chlorolichen,foliose_chlorolichen,0
68,hypotrachyna_laevigata,,LAE1_TN_QE,LAE1_TN_QE_L_20260713_141813713,high_conf,3,foliose_chlorolichen,foliose_chlorolichen,1
69,hypotrachyna_sinuosa,,LAE1_TN_QE,LAE1_TN_QE_L_20260713_141813727,high_conf,5,foliose_chlorolichen,foliose_chlorolichen,1
70,melanelixia_glabratula,,LAE1_TN_QE,LAE1_TN_QE_L_20260713_141813736,high_conf,3,foliose_chlorolichen,foliose_chlorolichen,0
71,lepraria_sp,,LAE1_TN_QE,LAE1_TN_QE_L_20260713_141813747,med_conf,5,leprose_chlorolichen,leprose_chlorolichen,0
72,hypotrachyna_sinuosa,,LAE1_TN_QN,LAE1_TN_QN_L_20260713_141813757,high_conf,5,foliose_chlorolichen,foliose_chlorolichen,1
73,lepraria_sp,,LAE1_TN_QN,LAE1_TN_QN_L_20260713_141813763,med_conf,3,leprose_chlorolichen,leprose_chlorolichen,0
74,melanelixia_glabratula,,LAE1_TN_QW,LAE1_TN_QW_L_20260713_141813773,high_conf,5,foliose_chlorolichen,foliose_chlorolichen,0
75,hypotrachyna_sinuosa,,LAE1_TN_QW,LAE1_TN_QW_L_20260713_141813783,high_conf,2,foliose_chlorolichen,foliose_chlorolichen,1
76,lecanora_chlarotera_s._lat.,,LAE1_TN_QW,LAE1_TN_QW_L_20260713_141813789,high_conf,3,crustose_chlorolichen,crustose_chlorolichen,0
77,lepraria_sp,,LAE1_TN_QW,LAE1_TN_QW_L_20260713_141813803,med_conf,5,leprose_chlorolichen,leprose_chlorolichen,0
78,hypotrachyna_laevigata,,LAN1_TN_QE,LAN1_TN_QE_L_20260713_141813813,high_conf,4,foliose_chlorolichen,foliose_chlorolichen,1
79,usnea_cornuta_s._lat.,,LAN1_TN_QE,LAN1_TN_QE_L_20260713_141813821,high_conf,4,fruticose_chlorolichen,fruticose_chlorolichen,1
80,cladonia_coniocraea,,LAN1_TN_QE,LAN1_TN_QE_L_20260713_141813828,,2,foliose_chlorolichen,foliose_chlorolichen,0
81,ochrolechia_androgyna,,LAN1_TN_QE,LAN1_TN_QE_L_20260713_141813837,high_conf,1,crustose_chlorolichen,crustose_chlorolichen,0
82,lecanactis_abietina,,LAN1_TN_QE,LAN1_TN_QE_L_20260713_141813843,med_conf,2,crustose_chlorolichen,crustose_chlorolichen,0
83,hypotrachyna_sinuosa,,LAN1_TN_QN,LAN1_TN_QN_L_20260713_141813855,high_conf,2,foliose_chlorolichen,foliose_chlorolichen,1
84,cladonia_coniocraea,,LAN1_TN_QN,LAN1_TN_QN_L_20260713_141813863,high_conf,5,foliose_chlorolichen,foliose_chlorolichen,0
85,usnea_cornuta_s._lat.,,LAN1_TN_QS,LAN1_TN_QS_L_20260713_141813873,high_conf,2,fruticose_chlorolichen,fruticose_chlorolichen,1
86,hypotrachyna_sinuosa,,LAN1_TN_QS,LAN1_TN_QS_L_20260713_141813884,,5,foliose_chlorolichen,foliose_chlorolichen,1
87,cladonia_coniocraea,,LAN1_TN_QS,LAN1_TN_QS_L_20260713_141813893,high_conf,5,foliose_chlorolichen,foliose_chlorolichen,0
88,cladonia_coniocraea,,LAN1_TN_QW,LAN1_TN_QW_L_20260713_141813900,high_conf,4,foliose_chlorolichen,foliose_chlorolichen,0
89,hypotrachyna_sinuosa,,LAN1_TN_QW,LAN1_TN_QW_L_20260713_141813903,high_conf,1,foliose_chlorolichen,foliose_chlorolichen,1
90,platismatia_glauca,,LAN1_TE_QE,LAN1_TE_QE_L_20260713_141813916,high_conf,5,foliose_chlorolichen,foliose_chlorolichen,1
91,hypotrachyna_laevigata,,LAN1_TE_QE,LAN1_TE_QE_L_20260713_141813930,high_conf,5,foliose_chlorolichen,foliose_chlorolichen,1
92,cladonia_coniocraea,,LAN1_TE_QE,LAN1_TE_QE_L_20260713_141813938,high_conf,4,foliose_chlorolichen,foliose_chlorolichen,0
93,cladonia_coniocraea,,LAN1_TE_QN,LAN1_TE_QN_L_20260713_141813943,high_conf,5,foliose_chlorolichen,foliose_chlorolichen,0
94,hypotrachyna_laevigata,,LAN1_TE_QN,LAN1_TE_QN_L_20260713_141813955,high_conf,1,foliose_chlorolichen,foliose_chlorolichen,1
95,usnea_cornuta_s._lat.,,LAN1_TE_QN,LAN1_TE_QN_L_20260713_141813964,high_conf,2,fruticose_chlorolichen,fruticose_chlorolichen,1
96,lobaria_pulmonaria,,LAN1_TE_QS,LAN1_TE_QS_L_20260713_141813964,high_conf,1,foliose_cyanolichen,foliose_cyanolichen,1
97,hypotrachyna_sinuosa,,LAN1_TE_QS,LAN1_TE_QS_L_20260713_141813980,med_conf,4,foliose_chlorolichen,foliose_chlorolichen,1
98,sticta_sylvatica,,LAN1_TE_QS,LAN1_TE_QS_L_20260713_141813988,med_conf,4,foliose_cyanolichen,foliose_cyanolichen,1
99,usnea_cornuta_s._lat.,,LAN1_TE_QW,LAN1_TE_QW_L_20260713_141813996,high_conf,3,fruticose_chlorolichen,fruticose_chlorolichen,1
100,cladonia_coniocraea,,LAN1_TE_QW,LAN1_TE_QW_L_20260713_141814003,high_conf,3,foliose_chlorolichen,foliose_chlorolichen,0
101,hypotrachyna_laevigata,,LAN1_TE_QW,LAN1_TE_QW_L_20260713_141814018,high_conf,5,foliose_chlorolichen,foliose_chlorolichen,1
102,platismatia_glauca,,LAN1_TE_QW,LAN1_TE_QW_L_20260713_141814028,high_conf,3,foliose_chlorolichen,foliose_chlorolichen,1
103,cladonia_coniocraea,,LAN1_TS_QE,LAN1_TS_QE_L_20260713_141814033,high_conf,1,foliose_chlorolichen,foliose_chlorolichen,0
104,platismatia_glauca,,LAN1_TS_QE,LAN1_TS_QE_L_20260713_141814043,med_conf,1,foliose_chlorolichen,foliose_chlorolichen,1
105,cladonia_coniocraea,,LAN1_TS_QN,LAN1_TS_QN_L_20260713_141814055,high_conf,5,foliose_chlorolichen,foliose_chlorolichen,0
106,usnea_cornuta_s._lat.,,LAN1_TS_QN,LAN1_TS_QN_L_20260713_141814063,high_conf,4,fruticose_chlorolichen,fruticose_chlorolichen,1
107,hypotrachyna_sinuosa,,LAN1_TS_QN,LAN1_TS_QN_L_20260713_141814073,high_conf,3,foliose_chlorolichen,foliose_chlorolichen,1
108,hypotrachyna_sinuosa,,LAN1_TS_QS,LAN1_TS_QS_L_20260713_141814075,med_conf,4,foliose_chlorolichen,foliose_chlorolichen,1
109,cladonia_coniocraea,,LAN1_TS_QS,LAN1_TS_QS_L_20260713_141814088,high_conf,5,foliose_chlorolichen,foliose_chlorolichen,0
110,platismatia_glauca,,LAN1_TS_QS,LAN1_TS_QS_L_20260713_141814093,med_conf,1,foliose_chlorolichen,foliose_chlorolichen,1
111,cladonia_coniocraea,,LAN1_TS_QW,LAN1_TS_QW_L_20260713_141814107,high_conf,5,foliose_chlorolichen,foliose_chlorolichen,0
112,platismatia_glauca,,LAN1_TS_QW,LAN1_TS_QW_L_20260713_141814113,high_conf,1,foliose_chlorolichen,foliose_chlorolichen,1
113,usnea_cornuta_s._lat.,,LAN1_TW_QE,LAN1_TW_QE_L_20260713_141814123,high_conf,5,fruticose_chlorolichen,fruticose_chlorolichen,1
114,hypotrachyna_laevigata,,LAN1_TW_QE,LAN1_TW_QE_L_20260713_141814133,high_conf,3,foliose_chlorolichen,foliose_chlorolichen,1
115,hypotrachyna_sinuosa,,LAN1_TW_QE,LAN1_TW_QE_L_20260713_141814143,high_conf,4,foliose_chlorolichen,foliose_chlorolichen,1
116,cladonia_coniocraea,,LAN1_TW_QE,LAN1_TW_QE_L_20260713_141814143,high_conf,5,foliose_chlorolichen,foliose_chlorolichen,0
117,platismatia_glauca,,LAN1_TW_QE,LAN1_TW_QE_L_20260713_141814155,high_conf,4,foliose_chlorolichen,foliose_chlorolichen,1
118,usnea_cornuta_s._lat.,,LAN1_TW_QN,LAN1_TW_QN_L_20260713_141814163,high_conf,5,fruticose_chlorolichen,fruticose_chlorolichen,1
119,hypotrachyna_laevigata,,LAN1_TW_QN,LAN1_TW_QN_L_20260713_141814173,high_conf,5,foliose_chlorolichen,foliose_chlorolichen,1
120,platismatia_glauca,,LAN1_TW_QN,LAN1_TW_QN_L_20260713_141814186,med_conf,3,foliose_chlorolichen,foliose_chlorolichen,1
121,cladonia_coniocraea,,LAN1_TW_QN,LAN1_TW_QN_L_20260713_141814193,high_conf,3,foliose_chlorolichen,foliose_chlorolichen,0
122,cladonia_fimbriata,,LAN1_TW_QN,LAN1_TW_QN_L_20260713_141814203,med_conf,2,foliose_chlorolichen,foliose_chlorolichen,0
123,ochrolechia_androgyna,,LAN1_TW_QN,LAN1_TW_QN_L_20260713_141814213,med_conf,3,crustose_chlorolichen,crustose_chlorolichen,0
124,usnea_cornuta_s._lat.,,LAN1_TW_QS,LAN1_TW_QS_L_20260713_141814218,high_conf,5,fruticose_chlorolichen,fruticose_chlorolichen,1
125,hypotrachyna_laevigata,,LAN1_TW_QS,LAN1_TW_QS_L_20260713_141814223,high_conf,3,foliose_chlorolichen,foliose_chlorolichen,1
126,hypotrachyna_sinuosa,,LAN1_TW_QS,LAN1_TW_QS_L_20260713_141814241,med_conf,2,foliose_chlorolichen,foliose_chlorolichen,1
127,cladonia_coniocraea,,LAN1_TW_QS,LAN1_TW_QS_L_20260713_141814249,high_conf,4,foliose_chlorolichen,foliose_chlorolichen,0
128,evernia_prunastri,,LAN1_TW_QS,LAN1_TW_QS_L_20260713_141814255,med_conf,1,fruticose_chlorolichen,fruticose_chlorolichen,0
129,usnea_cornuta_s._lat.,,LAN1_TW_QW,LAN1_TW_QW_L_20260713_141814266,high_conf,5,fruticose_chlorolichen,fruticose_chlorolichen,1
130,hypotrachyna_laevigata,,LAN1_TW_QW,LAN1_TW_QW_L_20260713_141814273,med_conf,3,foliose_chlorolichen,foliose_chlorolichen,1
131,platismatia_glauca,,LAN1_TW_QW,LAN1_TW_QW_L_20260713_141814283,high_conf,2,foliose_chlorolichen,foliose_chlorolichen,1
132,ochrolechia_androgyna,,LAN1_TW_QW,LAN1_TW_QW_L_20260713_141814293,med_conf,5,crustose_chlorolichen,crustose_chlorolichen,0
133,ochrolechia_androgyna,,BG2_TE_QW,BG2_TE_QW_L_20260713_141814303,high_conf,2,crustose_chlorolichen,crustose_chlorolichen,0
134,ochrolechia_androgyna,,BG2_TE_QN,BG2_TE_QN_L_20260713_141814313,high_conf,5,crustose_chlorolichen,crustose_chlorolichen,0
135,thelotrema_lepadinum,,BG2_TE_QN,BG2_TE_QN_L_20260713_141814318,high_conf,4,crustose_chlorolichen,crustose_chlorolichen,1
136,cladonia_coniocraea,,BG2_TE_QN,BG2_TE_QN_L_20260713_141814329,high_conf,4,foliose_chlorolichen,foliose_chlorolichen,0
137,ochrolechia_tartarea,,BG2_TE_QE,BG2_TE_QE_L_20260713_141814333,high_conf,5,crustose_chlorolichen,crustose_chlorolichen,1
138,ochrolechia_tartarea,,BG2_TE_QS,BG2_TE_QS_L_20260713_141814345,high_conf,1,crustose_chlorolichen,crustose_chlorolichen,1
139,lepra_albescens_var._albescens,,BG2_TE_QS,BG2_TE_QS_L_20260713_141814355,low_conf,2,crustose_chlorolichen,crustose_chlorolichen,0
140,thelotrema_lepadinum,,BG2_TN_QS,BG2_TN_QS_L_20260713_141814366,high_conf,5,crustose_chlorolichen,crustose_chlorolichen,1
141,pectenia_plumbea_s._lat.,,BG2_TN_QS,BG2_TN_QS_L_20260713_141814373,med_conf,3,foliose_cyanolichen,foliose_cyanolichen,1
142,thelotrema_lepadinum,,BG2_TN_QW,BG2_TN_QW_L_20260713_141814383,high_conf,5,crustose_chlorolichen,crustose_chlorolichen,1
143,thelotrema_lepadinum,,BG2_TN_QN,BG2_TN_QN_L_20260713_141814383,med_conf,1,crustose_chlorolichen,crustose_chlorolichen,1
144,thelotrema_lepadinum,,BG2_TN_QE,BG2_TN_QE_L_20260713_141814393,med_conf,4,crustose_chlorolichen,crustose_chlorolichen,1
145,thelotrema_lepadinum,,BG2_TS_QN,BG2_TS_QN_L_20260713_141814409,high_conf,5,crustose_chlorolichen,crustose_chlorolichen,1
146,cladonia_coniocraea,,BG2_TS_QN,BG2_TS_QN_L_20260713_141814413,med_conf,4,foliose_chlorolichen,foliose_chlorolichen,0
147,thelotrema_lepadinum,,BG2_TS_QE,BG2_TS_QE_L_20260713_141814425,high_conf,5,crustose_chlorolichen,crustose_chlorolichen,1
148,hypotrachyna_laevigata,,BG2_TS_QE,BG2_TS_QE_L_20260713_141814433,med_conf,1,foliose_chlorolichen,foliose_chlorolichen,1
149,thelotrema_macrosporum,,BG2_TS_QS,BG2_TS_QS_L_20260713_141814443,med_conf,5,crustose_chlorolichen,crustose_chlorolichen,1
150,thelotrema_lepadinum,,BG2_TS_QS,BG2_TS_QS_L_20260713_141814456,high_conf,2,crustose_chlorolichen,crustose_chlorolichen,1
151,thelotrema_lepadinum,,BG2_TS_QW,BG2_TS_QW_L_20260713_141814463,high_conf,3,crustose_chlorolichen,crustose_chlorolichen,1
152,thelotrema_macrosporum,,BG2_TS_QW,BG2_TS_QW_L_20260713_141814473,med_conf,5,crustose_chlorolichen,crustose_chlorolichen,1
153,thelotrema_lepadinum,,BG2_TW_QS,BG2_TW_QS_L_20260713_141814483,high_conf,5,crustose_chlorolichen,crustose_chlorolichen,1
154,thelotrema_macrosporum,,BG2_TW_QS,BG2_TW_QS_L_20260713_141814496,med_conf,5,crustose_chlorolichen,crustose_chlorolichen,1
155,cladonia_coniocraea,,BG2_TW_QS,BG2_TW_QS_L_20260713_141814503,high_conf,4,foliose_chlorolichen,foliose_chlorolichen,0
156,thelotrema_macrosporum,,BG2_TW_QE,BG2_TW_QE_L_20260713_141814513,med_conf,5,crustose_chlorolichen,crustose_chlorolichen,1
157,cladonia_coniocraea,,BG2_TW_QE,BG2_TW_QE_L_20260713_141814523,med_conf,4,foliose_chlorolichen,foliose_chlorolichen,0
158,hypotrachyna_sinuosa,,BG2_TW_QN,BG2_TW_QN_L_20260713_141814528,high_conf,2,foliose_chlorolichen,foliose_chlorolichen,1
159,thelotrema_macrosporum,,BG2_TW_QN,BG2_TW_QN_L_20260713_141814535,high_conf,3,crustose_chlorolichen,crustose_chlorolichen,1
160,cladonia_coniocraea,,BG2_TW_QN,BG2_TW_QN_L_20260713_141814543,high_conf,2,foliose_chlorolichen,foliose_chlorolichen,0
161,thelotrema_macrosporum,,BG2_TW_QW,BG2_TW_QW_L_20260713_141814555,med_conf,5,crustose_chlorolichen,crustose_chlorolichen,1
162,thelotrema_lepadinum,,BG2_TW_QW,BG2_TW_QW_L_20260713_141814566,high_conf,2,crustose_chlorolichen,crustose_chlorolichen,1
163,cladonia_coniocraea,,BG2_TW_QW,BG2_TW_QW_L_20260713_141814573,high_conf,2,foliose_chlorolichen,foliose_chlorolichen,0
164,lepra_sp,,INN2_TW_QE,INN2_TW_QE_L_20260713_141814588,med_conf,4,crustose_chlorolichen,crustose_chlorolichen,0
165,cladonia_sp,,INN2_TW_QS,INN2_TW_QS_L_20260713_141814593,high_conf,5,squamulose_chlorolichen,squamulose_chlorolichen,0
166,lepra_sp,,INN2_TW_QS,INN2_TW_QS_L_20260713_141814603,med_conf,3,crustose_chlorolichen,crustose_chlorolichen,0
167,cladonia_sp,,INN2_TW_QW,INN2_TW_QW_L_20260713_141814613,high_conf,4,squamulose_chlorolichen,squamulose_chlorolichen,0
168,graphis_scripta_s._lat.,,INN2_TW_QW,INN2_TW_QW_L_20260713_141814624,high_conf,1,crustose_chlorolichen,crustose_chlorolichen,0
169,mycoblastus_sanguinarius_f._sanguinarius,,INN2_TW_QW,INN2_TW_QW_L_20260713_141814633,med_conf,2,crustose_chlorolichen,crustose_chlorolichen,0
170,cladonia_sp,,INN2_TS_QW,INN2_TS_QW_L_20260713_141814633,high_conf,1,squamulose_chlorolichen,squamulose_chlorolichen,0
171,lichen_(unidentified),"Pale blue, hard to distinguish. Cell 5",INN2_TS_QW,INN2_TS_QW_L_20260713_142847643,low_conf,1,crustose_unknown_photobiont,,0
172,mycoblastus_sanguinarius_f._sanguinarius,Tucked behind moss.,INN2_TS_QN,INN2_TS_QN_L_20260713_141814661,high_conf,3,crustose_chlorolichen,crustose_chlorolichen,0
173,mycoblastus_sanguinarius_f._sanguinarius,,INN2_TS_QE,INN2_TS_QE_L_20260713_141814673,high_conf,3,crustose_chlorolichen,crustose_chlorolichen,0
174,mycoblastus_sanguinarius_f._sanguinarius,,INN2_TS_QS,INN2_TS_QS_L_20260713_141814683,med_conf,2,crustose_chlorolichen,crustose_chlorolichen,0
175,cladonia_sp,,INN2_TS_QS,INN2_TS_QS_L_20260713_141814695,low_conf,3,squamulose_chlorolichen,squamulose_chlorolichen,0
176,graphis_scripta_s._lat.,,INN2_TN_QE,INN2_TN_QE_L_20260713_141814703,med_conf,5,crustose_chlorolichen,crustose_chlorolichen,0
177,pyrenula_macrospora,,INN2_TN_QS,INN2_TN_QS_L_20260713_141814713,high_conf,5,crustose_chlorolichen,crustose_chlorolichen,1
178,pyrenula_laevigata,,INN2_TN_QS,INN2_TN_QS_L_20260713_141814713,med_conf,2,crustose_chlorolichen,crustose_chlorolichen,1
179,pertusaria_leioplaca,,INN2_TN_QS,INN2_TN_QS_L_20260713_141814724,med_conf,5,crustose_chlorolichen,crustose_chlorolichen,0
180,pertusaria_leioplaca,,INN2_TN_QW,INN2_TN_QW_L_20260713_141814743,med_conf,3,crustose_chlorolichen,crustose_chlorolichen,0
181,pyrenula_macrospora,,INN2_TN_QW,INN2_TN_QW_L_20260713_141814753,high_conf,4,crustose_chlorolichen,crustose_chlorolichen,1
182,pertusaria_leioplaca,,INN2_TN_QN,INN2_TN_QN_L_20260713_141814755,med_conf,1,crustose_chlorolichen,crustose_chlorolichen,0
183,pyrenula_macrospora,,INN2_TN_QN,INN2_TN_QN_L_20260713_141814771,high_conf,5,crustose_chlorolichen,crustose_chlorolichen,1
184,graphis_scripta_s._lat.,,INN2_TE_QW,INN2_TE_QW_L_20260713_141814773,high_conf,3,crustose_chlorolichen,crustose_chlorolichen,0
185,pyrenula_macrospora,,INN2_TE_QW,INN2_TE_QW_L_20260713_141814787,high_conf,5,crustose_chlorolichen,crustose_chlorolichen,1
186,cladonia_sp,,INN2_TE_QN,INN2_TE_QN_L_20260713_141814803,high_conf,5,squamulose_chlorolichen,squamulose_chlorolichen,0
187,pyrenula_macrospora,,INN2_TE_QN,INN2_TE_QN_L_20260713_141814813,med_conf,3,crustose_chlorolichen,crustose_chlorolichen,1
188,pyrenula_macrospora,,INN2_TE_QE,INN2_TE_QE_L_20260713_141814823,high_conf,4,crustose_chlorolichen,crustose_chlorolichen,1
189,lichen_(unidentified),,INN2_TE_QE,INN2_TE_QE_L_20260713_141814828,low_conf,1,leprose_lichen,,0
190,pyrenula_macrospora,,INN2_TE_QS,INN2_TE_QS_L_20260713_141814835,high_conf,4,crustose_chlorolichen,crustose_chlorolichen,1
191,lichen_(unidentified),,INN2_TE_QS,INN2_TE_QS_L_20260713_141814848,low_conf,1,leprose_lichen,,0
192,ochrolechia_androgyna,,ARI1_TE_QN,ARI1_TE_QN_L_20260713_141814855,high_conf,5,crustose_chlorolichen,crustose_chlorolichen,0
193,usnea_cornuta_s._lat.,,ARI1_TE_QN,ARI1_TE_QN_L_20260713_141814867,high_conf,1,fruticose_chlorolichen,fruticose_chlorolichen,1
194,cladonia_sp,,ARI1_TE_QN,ARI1_TE_QN_L_20260713_141814873,high_conf,5,squamulose_chlorolichen,squamulose_chlorolichen,0
195,hypotrachyna_laevigata,,ARI1_TE_QN,ARI1_TE_QN_L_20260713_141814884,high_conf,2,foliose_chlorolichen,foliose_chlorolichen,1
196,ochrolechia_androgyna,,ARI1_TE_QE,ARI1_TE_QE_L_20260713_141814888,high_conf,5,crustose_chlorolichen,crustose_chlorolichen,0
197,hypotrachyna_laevigata,,ARI1_TE_QE,ARI1_TE_QE_L_20260713_141814900,high_conf,2,foliose_chlorolichen,foliose_chlorolichen,1
198,cladonia_sp,,ARI1_TE_QE,ARI1_TE_QE_L_20260713_141814906,high_conf,4,squamulose_chlorolichen,squamulose_chlorolichen,0
199,ochrolechia_androgyna,,ARI1_TE_QS,ARI1_TE_QS_L_20260713_141814916,high_conf,5,crustose_chlorolichen,crustose_chlorolichen,0
200,usnea_cornuta_s._lat.,,ARI1_TE_QS,ARI1_TE_QS_L_20260713_141814932,high_conf,1,fruticose_chlorolichen,fruticose_chlorolichen,1
201,hypotrachyna_laevigata,,ARI1_TE_QS,ARI1_TE_QS_L_20260713_141814932,high_conf,1,foliose_chlorolichen,foliose_chlorolichen,1
202,ochrolechia_androgyna,,ARI1_TE_QW,ARI1_TE_QW_L_20260713_141814947,high_conf,5,crustose_chlorolichen,crustose_chlorolichen,0
203,hypotrachyna_laevigata,,ARI1_TE_QW,ARI1_TE_QW_L_20260713_141814955,high_conf,3,foliose_chlorolichen,foliose_chlorolichen,1
204,cladonia_sp,,ARI1_TE_QW,ARI1_TE_QW_L_20260713_141814963,high_conf,2,squamulose_chlorolichen,squamulose_chlorolichen,0
205,ochrolechia_androgyna,,ARI1_TS_QN,ARI1_TS_QN_L_20260713_141814963,high_conf,5,crustose_chlorolichen,crustose_chlorolichen,0
206,cladonia_sp,,ARI1_TS_QN,ARI1_TS_QN_L_20260713_141814979,high_conf,1,squamulose_chlorolichen,squamulose_chlorolichen,0
207,normandina_pulchella,,ARI1_TS_QN,ARI1_TS_QN_L_20260713_141814995,high_conf,2,squamulose_cyanolichen,squamulose_chlorolichen,1
208,ochrolechia_androgyna,,ARI1_TS_QE,ARI1_TS_QE_L_20260713_141814995,high_conf,5,crustose_chlorolichen,crustose_chlorolichen,0
209,normandina_pulchella,,ARI1_TS_QE,ARI1_TS_QE_L_20260713_141815011,high_conf,1,squamulose_cyanolichen,squamulose_chlorolichen,1
210,cladonia_sp,,ARI1_TS_QE,ARI1_TS_QE_L_20260713_141815027,high_conf,4,squamulose_chlorolichen,squamulose_chlorolichen,0
